explainer,n,attr_minutes,comprehensiveness_mean,comprehensiveness_std,sufficiency_mean,sufficiency_std,aopc_mean,aopc_std,logit_drop_mean,logit_drop_std,deletion_auc_mean,deletion_auc_std,insertion_auc_mean,insertion_auc_std
optimus,2610,18.2,0.1822266019953113,0.2154881565323152,0.33946349221360655,0.3008031378327793,0.3751507861445887,0.3006048331260722,0.9060909713751933,0.9871675698805683,0.44273808207551113,0.2974880565095075,0.5621699525983321,0.23413484462533063
optimus_batch,2610,19.9,0.10658519352485747,0.15084454617069687,0.41711958270788485,0.30243187468645083,0.28949557879590765,0.24406780033578052,0.4952897816112754,0.7046108159679488,0.5283932893511271,0.2686232382081317,0.5075050032561689,0.2586994117629983
gradshap,2610,15.5,0.2523508045126998,0.2487830485672097,0.3179727091427165,0.2687049085089536,0.4010249737336147,0.2705094872113274,1.1457772553306058,1.1922739497045187,0.41686389483811737,0.2944035882250929,0.6622417666283757,0.24901360149395468
lime,2610,35.6,0.13257413016477007,0.18278865653685172,0.38823127467129503,0.27904737784393546,0.3105732410138346,0.23853121942313885,0.5833421924027928,0.8176309930047515,0.5073156281819315,0.2652620513699493,0.5592930351341076,0.2544704283661674
random,2610,0.0,0.07633468974841215,0.14267434565064457,0.39934980834044126,0.26967734136832616,0.2573205743454909,0.2247438407627768,0.2922413033859989,0.6367429749581424,0.5605682948211002,0.25620520344841524,0.5601741408685158,0.25733764208792265
