explainer,n,comprehensiveness_mean,comprehensiveness_std,sufficiency_mean,sufficiency_std,aopc_mean,aopc_std,logit_drop_mean,logit_drop_std,deletion_auc_mean,deletion_auc_std,insertion_auc_mean,insertion_auc_std
gradshap,1616,0.12241441942400216,0.1747809285422733,0.3001073471927211,0.2748639811488133,0.26995468549933205,0.22325781575372455,0.5199150548547136,0.7378130576481079,0.4082725325250067,0.2045395917277186,0.49943403135472214,0.1846753036666547
lime,1616,0.17482631288960576,0.20231819561714115,0.26450309662624194,0.260316567379005,0.3141874932070374,0.23475540923488775,0.7303846599812225,0.8612402422238996,0.3640397249437445,0.20764504555322674,0.5457449905823288,0.1756355469077536
optimus_batch,1616,0.046158482055142294,0.09115249021501066,0.34107970795723824,0.2844883759235208,0.20224287254043674,0.18899264680940048,0.19590471245526103,0.3563135682141008,0.47598434602438316,0.18163494183566078,0.45286442754458234,0.18997760754784776
optimus,1616,0.0537775573843663,0.10833741414868212,0.346681202986303,0.3037049207479732,0.21015972798016777,0.18457311109719127,0.21130740397987183,0.446546074860689,0.46806749013736093,0.18021618944137732,0.4411420720036943,0.1919328067975948
optimus_prime,1616,0.060018546971067746,0.1147163264576564,0.34318496897948636,0.30379250567823507,0.21589120209834015,0.1868884310856135,0.2368870596191129,0.47531962436100644,0.46233601658089235,0.18194529239661084,0.44689408394434293,0.1941078934484624
random,1616,0.07790859868681412,0.1470662636346161,0.33729578738063654,0.2838465353918586,0.21882735503425968,0.1994662179098058,0.3189037644013945,0.6031919782383023,0.4593998633322219,0.19159280535352693,0.4515283422436827,0.191632276908413
