frac,deletion_mean,deletion_std,insertion_mean,insertion_std
0.0,0.7352530443897614,0.18766449240189104,0.4774499061282796,0.4492416039222975
0.1,0.6446420704347726,0.299554715955171,0.5392481064869878,0.4316581520793407
0.2,0.6163096013880119,0.3238584662375284,0.5600610746396706,0.4125261170270905
0.30000000000000004,0.5825342446868308,0.3471448997023465,0.5775768215515508,0.38829198141913607
0.4,0.5562172932670308,0.36522493490706326,0.599961993041126,0.36332813717411405
0.5,0.5245478851910538,0.3847395438344185,0.6263525336133674,0.3335920217120077
0.6000000000000001,0.5045654815147058,0.40094666304744886,0.647157183250484,0.3067538459290542
0.7000000000000001,0.4845702494811625,0.4173908363915613,0.6752247464896824,0.2733964800694666
0.8,0.47239148779897594,0.4308742889247484,0.6964256029799939,0.24610461852490417
0.9,0.47358686290896285,0.4422863652574206,0.7154950400957695,0.2188730634228986
1.0,0.4774499061282796,0.4492416039222975,0.7352530443897614,0.18766449240189104
