frac,deletion_mean,deletion_std,insertion_mean,insertion_std
0.0,0.658530906405263,0.17348605541745454,0.26460466889254197,0.25513708714732325
0.1,0.6455632998541201,0.18899715584201818,0.2758459428631894,0.26828271303605017
0.2,0.6073048013599017,0.21483391261174942,0.3227422775462671,0.2782688325132214
0.30000000000000004,0.5667832243258576,0.2323017914864602,0.37996752893363156,0.29419349269398154
0.4,0.5265115195917575,0.24944979408179668,0.4203357239954616,0.29397600066674123
0.5,0.49446180953107094,0.2636789584844834,0.44167926038429833,0.2871774533566548
0.6000000000000001,0.4375546413282449,0.27400347685863874,0.4919247370830502,0.2794900522025383
0.7000000000000001,0.3873494498842018,0.27606574719228644,0.5325179035161013,0.2618979800292548
0.8,0.34166366780910984,0.2788109968706687,0.5729512290379014,0.23742971702759816
0.9,0.29108325831216325,0.2983018527334953,0.6291118849479215,0.2025031624932446
1.0,0.26460466889254197,0.25513708714732325,0.658530906405263,0.17348605541745454
