frac,deletion_mean,deletion_std,insertion_mean,insertion_std
0.0,0.7352530443897614,0.18766449240189104,0.4774499061282796,0.4492416039222975
0.1,0.6374055598495313,0.30435878156161034,0.5621133777314725,0.43120026530701827
0.2,0.6070886673916203,0.32687392232237955,0.5914428639660876,0.41372713043409953
0.30000000000000004,0.5729704218671228,0.3486788362841687,0.6009730777780239,0.39192271981315496
0.4,0.5505236669882344,0.3662097081064526,0.6097153133444059,0.36693068465362316
0.5,0.5268141012703283,0.38428334129268604,0.6226536269922955,0.33890133902405256
0.6000000000000001,0.5065618036977517,0.3974403855211851,0.6422823758803021,0.31294809857995426
0.7000000000000001,0.49159970606426495,0.4121285682696209,0.6683615555728857,0.28276131550937944
0.8,0.47097991748014467,0.42549224504452543,0.6948228117956136,0.25300228670302904
0.9,0.47085964158643034,0.4386169321556204,0.7124914377680621,0.22506088221127624
1.0,0.4774499061282796,0.4492416039222975,0.7352530443897614,0.18766449240189104
