explainer,n,attr_minutes,comprehensiveness_mean,comprehensiveness_std,sufficiency_mean,sufficiency_std,aopc_mean,aopc_std,logit_drop_mean,logit_drop_std,deletion_auc_mean,deletion_auc_std,insertion_auc_mean,insertion_auc_std
optimus,1622,64.0,0.24959486206626902,0.15772863693647204,0.518900623802284,0.1682704191225216,0.554183361502927,0.1530685972733715,1.4373861760470634,0.7156767824222867,0.3343765969031835,0.11260519300904906,0.606432649465872,0.20602851322764376
optimus_batch,1622,61.8,0.12910266051752367,0.16089703299854075,0.6140666732245323,0.1626282248700766,0.3999663918858604,0.1875532966839579,0.6782499275447094,0.6557665726556074,0.48859356642216917,0.19464141827352002,0.49389658318271257,0.15064299120142932
gradshap,1622,22.3,0.24847764737239672,0.214049623439325,0.5267494758005391,0.16793474887797558,0.5015833261527243,0.19807188145613336,1.2462757553548682,0.9836134879196177,0.3869766322456923,0.21564225061977396,0.6279402708095434,0.1809562328447678
lime,1622,51.7,0.11106038002204774,0.15184213300516528,0.5807398537747475,0.1608758669326373,0.38102111215680223,0.17929985823757458,0.5495395395735683,0.6227929204601834,0.5075388467783449,0.20023115618012796,0.536529503655508,0.19689744896472025
random,1622,0.0,0.07615472086584156,0.12628292853595935,0.591078585338734,0.15853780448874621,0.36018274481148016,0.16049191863693082,0.377250046000538,0.5486275504685397,0.5283772138622511,0.18017970079591922,0.5286364632858654,0.17924103054494542
