frac,deletion_mean,deletion_std,insertion_mean,insertion_std
0.0,0.658530906405263,0.17348605541745454,0.26460466889254197,0.25513708714732325
0.1,0.6408442301597299,0.20249341146419084,0.27558453802404337,0.29544220491758555
0.2,0.6102036125024338,0.21957372855947918,0.2912300336324508,0.28906516972209095
0.30000000000000004,0.5634587771590052,0.24066468430914675,0.3368755111333656,0.29098255359590475
0.4,0.5161772209345271,0.25622764635332357,0.3936602958033696,0.29705098048741707
0.5,0.4771085307572618,0.26844759929373574,0.438856150663059,0.2899047857443384
0.6000000000000001,0.42871742415856245,0.2765623458538805,0.4857467299556051,0.27953251239924776
0.7000000000000001,0.37428374600073433,0.277570394704526,0.5326503777696686,0.2576353994837079
0.8,0.324573184082303,0.27573808328640753,0.5778408495456875,0.2307938292918366
0.9,0.28374038914179356,0.2697883492552218,0.6174084447009609,0.20709957299078238
1.0,0.26460466889254197,0.25513708714732325,0.658530906405263,0.17348605541745454
