explainer,n,comprehensiveness_mean,comprehensiveness_std,sufficiency_mean,sufficiency_std,aopc_mean,aopc_std,logit_drop_mean,logit_drop_std,deletion_auc_mean,deletion_auc_std,insertion_auc_mean,insertion_auc_std
gradshap,2600,0.1576365456876402,0.2388946489240892,0.14874357424207188,0.3247580609700381,0.2303060427514748,0.28837344012065763,0.6403237928544583,0.9954398021110885,0.5178371586324289,0.331555977953023,0.6545961697449227,0.2665622807311266
lime,2600,0.15410335476942028,0.21029796240351037,0.1751799867961808,0.33460868657540166,0.2470823878680872,0.2715682007048349,0.6101122537064992,0.8643694386776157,0.5010608138160135,0.3154020619840256,0.6647579418940721,0.26721892189047985
optimus_batch,2600,0.03979871971887614,0.10212840179046444,0.239098353623295,0.37480770146751874,0.12498461013960108,0.2252652695285814,0.14260935193557928,0.394584969322368,0.6231585916644679,0.27591431118388365,0.5633270445801317,0.3210331818546867
optimus,2600,0.12185634329766029,0.22043364002552998,0.15849231712001852,0.337389337290345,0.20402770516906177,0.2876574239264061,0.4975907266013858,0.9068229602286321,0.5441154962140673,0.3249063328639746,0.6311207914325373,0.2735842356856896
optimus_prime,2600,0.11680769605064667,0.21796860356702694,0.177923053307959,0.33869195237186117,0.2015715357100299,0.28563816656525093,0.4729059301063759,0.9067933491859987,0.5465716652869462,0.3185554153767702,0.6243854577347027,0.272435165044809
random,2600,0.07865116492502099,0.1893628001379063,0.21167730676584492,0.3512522154467954,0.16680639946684306,0.2620564002775621,0.2983926022880993,0.7680898283422926,0.5813368021139624,0.30325540844729404,0.5930895188862207,0.29203383539985356
