frac,deletion_mean,deletion_std,insertion_mean,insertion_std
0.0,0.658530906405263,0.17348605541745454,0.26460466889254197,0.25513708714732325
0.1,0.614242135707893,0.21998617513509466,0.27931358529390804,0.26899101042226287
0.2,0.5835998433115915,0.23865284309906312,0.3175014972437224,0.2813539969467082
0.30000000000000004,0.5472650420794374,0.2533581194198644,0.3596852327660095,0.28179943404662855
0.4,0.5143300387639516,0.26662274144455894,0.4113331658795642,0.2879287341944968
0.5,0.4641206780477948,0.27755676346911484,0.44964208515069337,0.27804234874647726
0.6000000000000001,0.4203250133758065,0.28328196050595345,0.49737935386785986,0.2672161245744334
0.7000000000000001,0.3753029959873379,0.28472244325809554,0.5466845859885838,0.25381323609652673
0.8,0.32551217407373123,0.2786426089520785,0.5793834576261631,0.2349901040582025
0.9,0.2877329250689282,0.2726119022199355,0.612792669809285,0.21080698773638754
1.0,0.26460466889254197,0.25513708714732325,0.658530906405263,0.17348605541745454
