frac,deletion_mean,deletion_std,insertion_mean,insertion_std
0.0,0.658530906405263,0.17348605541745454,0.26460466889254197,0.25513708714732325
0.1,0.5251395431290137,0.2581962114806151,0.3294946586486704,0.2723126701295777
0.2,0.4671303637508455,0.2671340503836327,0.4239378977966919,0.28518904927739164
0.30000000000000004,0.408631487699954,0.27315167376501676,0.5013575464651902,0.2786343763518256
0.4,0.36615557136650356,0.27638567112272566,0.5528109217365733,0.2672342241211194
0.5,0.33142993830623896,0.27587844097411623,0.589852100045139,0.2485444485082875
0.6000000000000001,0.30108277575518605,0.2727575058110052,0.623975615153126,0.22544150774392924
0.7000000000000001,0.26972921138731903,0.2677054791240736,0.6497016724609391,0.20940948763714307
0.8,0.2533219881084319,0.264564782403139,0.6612274469992164,0.1941999614904407
0.9,0.25620858307229355,0.26662826807657786,0.6635242580565265,0.18813421641635106
1.0,0.26460466889254197,0.25513708714732325,0.658530906405263,0.17348605541745454
