frac,deletion_mean,deletion_std,insertion_mean,insertion_std
0.0,0.7352530443897614,0.18766449240189104,0.4774499061282796,0.4492416039222975
0.1,0.6809396345189844,0.27224923664586703,0.5078026864738562,0.4282523863942839
0.2,0.6554599994958307,0.29595359783950276,0.5165251195609856,0.41603499405830796
0.30000000000000004,0.6243044935165045,0.32457358108840095,0.5418317577980746,0.3956513841623745
0.4,0.5967647269004598,0.3456055507196805,0.562985578581261,0.3761784125975813
0.5,0.5720295581706047,0.3662973954546424,0.585307910144329,0.35767639835841447
0.6000000000000001,0.5469282923604791,0.38439324278070824,0.6065426553459838,0.33968239033918746
0.7000000000000001,0.5342987615993031,0.3998945228814458,0.6321365442565785,0.32116243314843756
0.8,0.5058029138051475,0.4227766465086003,0.6720063529011363,0.27887309762272716
0.9,0.490488164588415,0.43924725279761023,0.6994051073788881,0.2414393772295379
1.0,0.4774499061282796,0.4492416039222975,0.7352530443897614,0.18766449240189104
