frac,deletion_mean,deletion_std,insertion_mean,insertion_std
0.0,0.658530906405263,0.17348605541745454,0.26460466889254197,0.25513708714732325
0.1,0.576454961326349,0.24251882927646912,0.30736921394317607,0.27486576157085707
0.2,0.5232599898697324,0.2623784808039101,0.36218567451520933,0.28028719864623447
0.30000000000000004,0.47460829989787534,0.27308135804282324,0.43315151774429367,0.28243637272466676
0.4,0.4295868316200207,0.2780769770103309,0.4842050697263745,0.2794521733780651
0.5,0.39358118788562807,0.2834849937206156,0.5276073752104254,0.26709662220725205
0.6000000000000001,0.3550856895528683,0.28320028280640425,0.5647209104914725,0.2546372545543977
0.7000000000000001,0.3187210075900138,0.27813862358365254,0.5989203732743131,0.23443715261375703
0.8,0.2838335885089421,0.2732067607644815,0.6208356131959735,0.2187814784068191
0.9,0.26602598188887583,0.2695642767926055,0.6337767780509473,0.20257660601900498
1.0,0.26460466889254197,0.25513708714732325,0.658530906405263,0.17348605541745454
