frac,deletion_mean,deletion_std,insertion_mean,insertion_std
0.0,0.658530906405263,0.17348605541745454,0.26460466889254197,0.25513708714732325
0.1,0.6366479705078619,0.2065497251566663,0.2781533194915622,0.29493150578120003
0.2,0.5998447806744993,0.22720737057776452,0.2980243540570684,0.28616226149601265
0.30000000000000004,0.5498322412466151,0.2522239700315054,0.34557248322214784,0.28847054351715146
0.4,0.5099228743817035,0.26209384778661354,0.40121830538512293,0.2939058806979844
0.5,0.4677876416264715,0.272686969953972,0.44675698631851113,0.28593059527604786
0.6000000000000001,0.42356804785569946,0.27950627224775004,0.49677178319163234,0.27473873155042444
0.7000000000000001,0.3690393058096732,0.2774355918311736,0.5472890506435121,0.25469791319523927
0.8,0.32131135578228087,0.27304771513999726,0.5787904193448502,0.23099304068663373
0.9,0.28383816053426947,0.26513949187345875,0.6147963510904608,0.20611247446704917
1.0,0.26460466889254197,0.25513708714732325,0.658530906405263,0.17348605541745454
