frac,deletion_mean,deletion_std,insertion_mean,insertion_std
0.0,0.7352530443897614,0.18766449240189104,0.4774499061282796,0.4492416039222975
0.1,0.7156677113032828,0.21835493888144045,0.47945753916524925,0.4471698846988309
0.2,0.6922944130931192,0.25051709622819107,0.49972425929342323,0.43782758448934733
0.30000000000000004,0.6673867900348985,0.28178227333616357,0.5198761670860963,0.42064502970988016
0.4,0.6404146421946084,0.31084245985794634,0.5295927013707562,0.40707452753234086
0.5,0.623512009343204,0.3345262445205567,0.5455288832099177,0.3917430900725601
0.6000000000000001,0.6038885612638953,0.35624732650721985,0.5662584126763978,0.3755229942377727
0.7000000000000001,0.5946130553075972,0.37731367838731666,0.5814811726038057,0.356118926621458
0.8,0.5534174411554033,0.4183729699995753,0.633185935022596,0.3083682343436619
0.9,0.5340398177862741,0.4452216287921298,0.671813897405966,0.2645560274883799
1.0,0.4774499061282796,0.4492416039222975,0.7352530443897614,0.18766449240189104
